identifier,book_id,page_number,ground_truth_label,predicted_label,prob_advertisement,prob_cover,prob_story,prob_textstory,prob_first-page,prob_credits,prob_art,prob_text,prob_back_cover
Spread 002_page_20,Spread 002,20,story,story,0.019,0.029,0.475,0.022,0.252,0.02,0.12,0.031,0.032
Spread 002_page_21,Spread 002,21,story,story,0.02,0.044,0.478,0.023,0.238,0.023,0.119,0.023,0.032
Spread 002_page_22,Spread 002,22,story,text,0.036,0.017,0.024,0.026,0.051,0.096,0.041,0.691,0.019
Spread 002_page_23,Spread 002,23,story,back_cover,0.042,0.081,0.072,0.017,0.2,0.032,0.254,0.025,0.278
Spread 002_page_24,Spread 002,24,art,art,0.061,0.081,0.113,0.019,0.26,0.024,0.27,0.024,0.147
Spread 002_page_25,Spread 002,25,credits,advertisement,0.457,0.015,0.03,0.022,0.032,0.028,0.059,0.188,0.169
Spread 002_page_26,Spread 002,26,first-page,story,0.03,0.038,0.349,0.016,0.316,0.022,0.156,0.024,0.048
Spread 002_page_27,Spread 002,27,story,story,0.022,0.038,0.438,0.02,0.273,0.022,0.127,0.023,0.038
Spread 002_page_28,Spread 002,28,story,story,0.026,0.029,0.391,0.017,0.302,0.022,0.145,0.028,0.04
Spread 002_page_29,Spread 002,29,advertisement,advertisement,0.728,0.038,0.026,0.016,0.021,0.019,0.058,0.028,0.065
Spread 002_page_30,Spread 002,30,first-page,first-page,0.024,0.135,0.1,0.014,0.272,0.032,0.24,0.019,0.164
Spread 002_page_31,Spread 002,31,back_cover,advertisement,0.611,0.031,0.033,0.018,0.022,0.024,0.048,0.025,0.189
Beasts of Burden Occupied Territory._2_page_0,Beasts of Burden Occupied Territory._2,0,credits,back_cover,0.03,0.081,0.058,0.011,0.207,0.093,0.177,0.032,0.311
Beasts of Burden Occupied Territory._2_page_1,Beasts of Burden Occupied Territory._2,1,credits,back_cover,0.031,0.119,0.056,0.011,0.166,0.098,0.142,0.023,0.353
Beasts of Burden Occupied Territory._2_page_2,Beasts of Burden Occupied Territory._2,2,first-page,story,0.02,0.037,0.501,0.021,0.238,0.03,0.091,0.028,0.034
Beasts of Burden Occupied Territory._2_page_3,Beasts of Burden Occupied Territory._2,3,story,back_cover,0.024,0.223,0.049,0.011,0.117,0.112,0.115,0.018,0.331
Beasts of Burden Occupied Territory._2_page_4,Beasts of Burden Occupied Territory._2,4,story,back_cover,0.024,0.217,0.049,0.011,0.118,0.111,0.118,0.019,0.333
Beasts of Burden Occupied Territory._2_page_5,Beasts of Burden Occupied Territory._2,5,story,story,0.02,0.028,0.447,0.018,0.275,0.021,0.122,0.029,0.041
Beasts of Burden Occupied Territory._2_page_6,Beasts of Burden Occupied Territory._2,6,story,story,0.019,0.039,0.485,0.021,0.248,0.026,0.104,0.026,0.032
Beasts of Burden Occupied Territory._2_page_7,Beasts of Burden Occupied Territory._2,7,story,story,0.02,0.03,0.465,0.019,0.272,0.021,0.111,0.029,0.033
Beasts of Burden Occupied Territory._2_page_8,Beasts of Burden Occupied Territory._2,8,story,back_cover,0.021,0.227,0.046,0.011,0.111,0.127,0.108,0.019,0.331
Beasts of Burden Occupied Territory._2_page_9,Beasts of Burden Occupied Territory._2,9,story,story,0.019,0.033,0.484,0.019,0.252,0.022,0.109,0.027,0.034
Beasts of Burden Occupied Territory._2_page_10,Beasts of Burden Occupied Territory._2,10,story,story,0.019,0.032,0.485,0.02,0.253,0.022,0.108,0.027,0.034
Beasts of Burden Occupied Territory._2_page_11,Beasts of Burden Occupied Territory._2,11,story,story,0.021,0.043,0.454,0.02,0.257,0.023,0.123,0.022,0.037
Beasts of Burden Occupied Territory._2_page_12,Beasts of Burden Occupied Territory._2,12,story,story,0.02,0.037,0.476,0.02,0.254,0.021,0.111,0.025,0.037
Beasts of Burden Occupied Territory._2_page_13,Beasts of Burden Occupied Territory._2,13,story,story,0.018,0.038,0.508,0.02,0.23,0.023,0.101,0.027,0.035
Beasts of Burden Occupied Territory._2_page_14,Beasts of Burden Occupied Territory._2,14,story,story,0.019,0.033,0.489,0.02,0.251,0.022,0.106,0.027,0.034
Beasts of Burden Occupied Territory._2_page_15,Beasts of Burden Occupied Territory._2,15,story,story,0.019,0.034,0.471,0.02,0.258,0.021,0.117,0.025,0.034
Beasts of Burden Occupied Territory._2_page_16,Beasts of Burden Occupied Territory._2,16,story,back_cover,0.022,0.209,0.049,0.01,0.125,0.123,0.116,0.02,0.325
Beasts of Burden Occupied Territory._2_page_17,Beasts of Burden Occupied Territory._2,17,story,story,0.018,0.03,0.459,0.018,0.264,0.022,0.121,0.03,0.038
Beasts of Burden Occupied Territory._2_page_18,Beasts of Burden Occupied Territory._2,18,story,story,0.018,0.034,0.473,0.019,0.261,0.024,0.11,0.027,0.035
Beasts of Burden Occupied Territory._2_page_19,Beasts of Burden Occupied Territory._2,19,story,story,0.02,0.032,0.493,0.021,0.249,0.022,0.103,0.028,0.032
Beasts of Burden Occupied Territory._2_page_20,Beasts of Burden Occupied Territory._2,20,story,story,0.019,0.029,0.501,0.02,0.235,0.02,0.109,0.032,0.036
Beasts of Burden Occupied Territory._2_page_21,Beasts of Burden Occupied Territory._2,21,advertisement,advertisement,0.64,0.053,0.036,0.019,0.03,0.02,0.08,0.026,0.097
Beasts of Burden Occupied Territory._2_page_22,Beasts of Burden Occupied Territory._2,22,back_cover,back_cover,0.05,0.03,0.061,0.014,0.169,0.035,0.207,0.075,0.358
Skullkickers 019_page_0,Skullkickers 019,0,cover,advertisement,0.325,0.243,0.027,0.019,0.028,0.08,0.195,0.029,0.053
Skullkickers 019_page_1,Skullkickers 019,1,cover,credits,0.019,0.046,0.017,0.02,0.023,0.732,0.027,0.094,0.022
Skullkickers 019_page_2,Skullkickers 019,2,first-page,story,0.019,0.026,0.428,0.019,0.29,0.028,0.108,0.046,0.035
Skullkickers 019_page_3,Skullkickers 019,3,story,story,0.018,0.032,0.422,0.014,0.284,0.032,0.099,0.038,0.061
Skullkickers 019_page_4,Skullkickers 019,4,story,story,0.022,0.029,0.379,0.019,0.348,0.031,0.111,0.032,0.029
Skullkickers 019_page_5,Skullkickers 019,5,story,story,0.018,0.026,0.415,0.019,0.305,0.023,0.122,0.04,0.032
Skullkickers 019_page_6,Skullkickers 019,6,story,story,0.02,0.032,0.418,0.017,0.303,0.021,0.126,0.026,0.036
Skullkickers 019_page_7,Skullkickers 019,7,story,story,0.02,0.025,0.412,0.018,0.307,0.021,0.126,0.038,0.034
Skullkickers 019_page_8,Skullkickers 019,8,story,first-page,0.028,0.033,0.283,0.015,0.334,0.021,0.181,0.032,0.073
Skullkickers 019_page_9,Skullkickers 019,9,story,story,0.019,0.039,0.452,0.018,0.267,0.023,0.119,0.024,0.041
Skullkickers 019_page_10,Skullkickers 019,10,story,first-page,0.02,0.025,0.349,0.017,0.358,0.024,0.133,0.038,0.036
Skullkickers 019_page_11,Skullkickers 019,11,story,story,0.018,0.031,0.501,0.02,0.238,0.022,0.106,0.031,0.035
Skullkickers 019_page_12,Skullkickers 019,12,story,story,0.021,0.025,0.443,0.019,0.279,0.02,0.121,0.036,0.037
Skullkickers 019_page_13,Skullkickers 019,13,story,story,0.019,0.027,0.468,0.019,0.265,0.022,0.108,0.034,0.039
Skullkickers 019_page_14,Skullkickers 019,14,story,story,0.018,0.033,0.479,0.018,0.26,0.026,0.101,0.029,0.036
Skullkickers 019_page_15,Skullkickers 019,15,story,story,0.019,0.028,0.441,0.019,0.284,0.022,0.121,0.032,0.035
Skullkickers 019_page_16,Skullkickers 019,16,story,story,0.021,0.029,0.417,0.019,0.313,0.021,0.12,0.03,0.03
Skullkickers 019_page_17,Skullkickers 019,17,story,story,0.019,0.028,0.481,0.02,0.259,0.023,0.107,0.031,0.032
Skullkickers 019_page_18,Skullkickers 019,18,story,first-page,0.035,0.025,0.25,0.014,0.337,0.024,0.178,0.044,0.093
Skullkickers 019_page_19,Skullkickers 019,19,story,story,0.019,0.036,0.52,0.019,0.225,0.025,0.095,0.026,0.036
Skullkickers 019_page_20,Skullkickers 019,20,story,story,0.019,0.028,0.451,0.016,0.283,0.023,0.113,0.031,0.036
Skullkickers 019_page_21,Skullkickers 019,21,story,story,0.022,0.028,0.365,0.016,0.336,0.02,0.143,0.029,0.041
Skullkickers 019_page_22,Skullkickers 019,22,story,story,0.019,0.03,0.468,0.017,0.271,0.022,0.105,0.028,0.039
Skullkickers 019_page_23,Skullkickers 019,23,story,first-page,0.033,0.05,0.257,0.015,0.343,0.028,0.164,0.022,0.087
Skullkickers 019_page_24,Skullkickers 019,24,advertisement,advertisement,0.289,0.019,0.036,0.023,0.044,0.037,0.097,0.239,0.215
Skullkickers 019_page_25,Skullkickers 019,25,first-page,text,0.129,0.014,0.037,0.021,0.069,0.038,0.065,0.579,0.047
Skullkickers 019_page_26,Skullkickers 019,26,story,first-page,0.03,0.023,0.165,0.029,0.283,0.052,0.121,0.265,0.031
Skullkickers 019_page_27,Skullkickers 019,27,story,text,0.029,0.017,0.074,0.025,0.146,0.07,0.061,0.551,0.027
Skullkickers 019_page_28,Skullkickers 019,28,story,text,0.032,0.012,0.044,0.025,0.08,0.045,0.051,0.679,0.032
Skullkickers 019_page_29,Skullkickers 019,29,credits,advertisement,0.733,0.037,0.024,0.016,0.02,0.02,0.058,0.028,0.065
Skullkickers 019_page_30,Skullkickers 019,30,credits,advertisement,0.702,0.019,0.021,0.018,0.019,0.017,0.047,0.047,0.11
Skullkickers 019_page_31,Skullkickers 019,31,back_cover,text,0.078,0.015,0.03,0.027,0.039,0.15,0.043,0.505,0.111
Pathfinder 008_page_0,Pathfinder 008,0,cover,cover,0.073,0.487,0.031,0.017,0.046,0.025,0.222,0.014,0.086
Pathfinder 008_page_1,Pathfinder 008,1,cover,cover,0.043,0.507,0.03,0.015,0.048,0.025,0.255,0.013,0.065
Pathfinder 008_page_2,Pathfinder 008,2,credits,credits,0.021,0.041,0.021,0.024,0.028,0.675,0.031,0.139,0.02
Pathfinder 008_page_3,Pathfinder 008,3,first-page,story,0.022,0.047,0.398,0.018,0.29,0.05,0.112,0.026,0.038
Pathfinder 008_page_4,Pathfinder 008,4,story,story,0.02,0.032,0.486,0.021,0.25,0.027,0.098,0.037,0.028
Pathfinder 008_page_5,Pathfinder 008,5,story,story,0.019,0.041,0.517,0.021,0.219,0.033,0.086,0.03,0.033
Pathfinder 008_page_6,Pathfinder 008,6,story,story,0.019,0.03,0.47,0.02,0.264,0.024,0.111,0.03,0.032
Pathfinder 008_page_7,Pathfinder 008,7,story,story,0.02,0.023,0.458,0.021,0.255,0.022,0.115,0.05,0.035
Pathfinder 008_page_8,Pathfinder 008,8,story,story,0.019,0.049,0.483,0.022,0.242,0.03,0.096,0.025,0.035
Pathfinder 008_page_9,Pathfinder 008,9,story,story,0.018,0.042,0.507,0.022,0.231,0.026,0.095,0.026,0.033
Pathfinder 008_page_10,Pathfinder 008,10,story,story,0.018,0.044,0.471,0.02,0.256,0.03,0.101,0.028,0.032
Pathfinder 008_page_11,Pathfinder 008,11,story,story,0.019,0.032,0.485,0.021,0.248,0.022,0.113,0.028,0.031
Pathfinder 008_page_12,Pathfinder 008,12,story,story,0.019,0.034,0.464,0.022,0.27,0.025,0.105,0.031,0.03
Pathfinder 008_page_13,Pathfinder 008,13,story,story,0.019,0.034,0.497,0.021,0.243,0.024,0.102,0.029,0.031
Pathfinder 008_page_14,Pathfinder 008,14,story,story,0.019,0.028,0.484,0.022,0.251,0.022,0.106,0.035,0.032
Pathfinder 008_page_15,Pathfinder 008,15,story,story,0.019,0.036,0.495,0.021,0.242,0.026,0.101,0.03,0.031
Pathfinder 008_page_16,Pathfinder 008,16,story,story,0.02,0.057,0.477,0.025,0.23,0.032,0.104,0.024,0.032
Pathfinder 008_page_17,Pathfinder 008,17,story,story,0.019,0.052,0.368,0.021,0.326,0.027,0.129,0.024,0.034
Pathfinder 008_page_18,Pathfinder 008,18,story,story,0.02,0.031,0.458,0.02,0.276,0.024,0.109,0.031,0.03
Pathfinder 008_page_19,Pathfinder 008,19,story,story,0.019,0.045,0.498,0.022,0.233,0.028,0.097,0.025,0.033
Pathfinder 008_page_20,Pathfinder 008,20,story,story,0.019,0.037,0.474,0.022,0.26,0.025,0.105,0.03,0.028
Pathfinder 008_page_21,Pathfinder 008,21,story,story,0.02,0.041,0.473,0.022,0.257,0.031,0.097,0.029,0.031
Pathfinder 008_page_22,Pathfinder 008,22,story,story,0.019,0.05,0.509,0.024,0.217,0.031,0.091,0.026,0.033
Pathfinder 008_page_23,Pathfinder 008,23,story,story,0.018,0.038,0.493,0.021,0.25,0.027,0.093,0.027,0.033
Pathfinder 008_page_24,Pathfinder 008,24,story,first-page,0.018,0.041,0.348,0.016,0.348,0.034,0.127,0.029,0.039
Pathfinder 008_page_25,Pathfinder 008,25,story,text,0.205,0.096,0.049,0.03,0.129,0.06,0.191,0.208,0.032
Pathfinder 008_page_26,Pathfinder 008,26,story,text,0.034,0.024,0.102,0.032,0.198,0.045,0.116,0.424,0.025
Pathfinder 008_page_27,Pathfinder 008,27,story,first-page,0.06,0.038,0.152,0.02,0.318,0.018,0.254,0.093,0.047
Pathfinder 008_page_28,Pathfinder 008,28,story,text,0.032,0.016,0.08,0.025,0.129,0.04,0.082,0.546,0.049
Pathfinder 008_page_29,Pathfinder 008,29,story,advertisement,0.406,0.015,0.029,0.027,0.035,0.023,0.051,0.328,0.086
Pathfinder 008_page_30,Pathfinder 008,30,story,story,0.023,0.086,0.276,0.021,0.205,0.21,0.077,0.046,0.056
Pathfinder 008_page_31,Pathfinder 008,31,advertisement,advertisement,0.756,0.023,0.019,0.015,0.02,0.016,0.041,0.045,0.065
Pathfinder 008_page_32,Pathfinder 008,32,advertisement,advertisement,0.631,0.025,0.027,0.017,0.033,0.029,0.075,0.086,0.076
Pathfinder 008_page_33,Pathfinder 008,33,back_cover,advertisement,0.683,0.027,0.025,0.017,0.021,0.029,0.065,0.047,0.087
The Magic Order 004_page_0,The Magic Order 004,0,cover,cover,0.023,0.732,0.018,0.011,0.018,0.034,0.122,0.009,0.033
The Magic Order 004_page_1,The Magic Order 004,1,credits,credits,0.021,0.072,0.015,0.014,0.023,0.753,0.031,0.044,0.026
The Magic Order 004_page_2,The Magic Order 004,2,first-page,story,0.019,0.036,0.401,0.021,0.319,0.022,0.126,0.027,0.029
The Magic Order 004_page_3,The Magic Order 004,3,story,story,0.019,0.035,0.478,0.022,0.256,0.022,0.112,0.028,0.029
The Magic Order 004_page_4,The Magic Order 004,4,story,story,0.02,0.031,0.443,0.021,0.28,0.022,0.119,0.035,0.028
The Magic Order 004_page_5,The Magic Order 004,5,story,story,0.02,0.037,0.409,0.019,0.308,0.03,0.118,0.029,0.029
The Magic Order 004_page_6,The Magic Order 004,6,story,story,0.02,0.04,0.501,0.024,0.233,0.024,0.103,0.026,0.028
The Magic Order 004_page_7,The Magic Order 004,7,story,story,0.02,0.05,0.498,0.025,0.224,0.025,0.104,0.023,0.03
The Magic Order 004_page_8,The Magic Order 004,8,story,story,0.019,0.039,0.479,0.022,0.26,0.025,0.098,0.027,0.03
The Magic Order 004_page_9,The Magic Order 004,9,story,story,0.021,0.043,0.505,0.025,0.227,0.026,0.099,0.025,0.03
The Magic Order 004_page_10,The Magic Order 004,10,story,story,0.019,0.044,0.484,0.023,0.246,0.027,0.1,0.025,0.031
The Magic Order 004_page_11,The Magic Order 004,11,story,story,0.018,0.041,0.506,0.022,0.23,0.024,0.102,0.026,0.031
The Magic Order 004_page_12,The Magic Order 004,12,story,story,0.019,0.065,0.479,0.025,0.224,0.035,0.095,0.024,0.035
The Magic Order 004_page_13,The Magic Order 004,13,story,story,0.02,0.045,0.5,0.023,0.231,0.026,0.1,0.024,0.031
The Magic Order 004_page_14,The Magic Order 004,14,story,story,0.022,0.036,0.464,0.023,0.27,0.024,0.108,0.027,0.027
The Magic Order 004_page_15,The Magic Order 004,15,story,story,0.02,0.038,0.472,0.023,0.258,0.023,0.11,0.025,0.03
The Magic Order 004_page_16,The Magic Order 004,16,story,story,0.02,0.032,0.459,0.022,0.272,0.022,0.115,0.028,0.029
The Magic Order 004_page_17,The Magic Order 004,17,story,story,0.02,0.037,0.436,0.021,0.28,0.021,0.127,0.024,0.032
The Magic Order 004_page_18,The Magic Order 004,18,story,story,0.02,0.041,0.487,0.022,0.244,0.025,0.104,0.025,0.031
The Magic Order 004_page_19,The Magic Order 004,19,story,story,0.019,0.033,0.454,0.021,0.277,0.021,0.116,0.026,0.033
The Magic Order 004_page_20,The Magic Order 004,20,story,story,0.019,0.045,0.462,0.022,0.256,0.025,0.116,0.025,0.03
The Magic Order 004_page_21,The Magic Order 004,21,story,story,0.019,0.048,0.479,0.022,0.243,0.028,0.102,0.025,0.033
The Magic Order 004_page_22,The Magic Order 004,22,story,story,0.02,0.045,0.473,0.023,0.251,0.027,0.106,0.024,0.031
The Magic Order 004_page_23,The Magic Order 004,23,story,story,0.019,0.051,0.496,0.023,0.226,0.03,0.097,0.025,0.033
The Magic Order 004_page_24,The Magic Order 004,24,story,story,0.02,0.06,0.461,0.024,0.239,0.031,0.11,0.023,0.033
The Magic Order 004_page_25,The Magic Order 004,25,art,advertisement,0.334,0.166,0.033,0.018,0.043,0.037,0.195,0.026,0.148
The Magic Order 004_page_26,The Magic Order 004,26,advertisement,advertisement,0.697,0.039,0.026,0.015,0.028,0.018,0.068,0.035,0.073
The Magic Order 004_page_27,The Magic Order 004,27,art,advertisement,0.453,0.148,0.04,0.02,0.046,0.026,0.173,0.031,0.062
The Magic Order 004_page_28,The Magic Order 004,28,advertisement,advertisement,0.772,0.021,0.021,0.015,0.017,0.016,0.035,0.033,0.072
The Magic Order 004_page_29,The Magic Order 004,29,back_cover,back_cover,0.309,0.09,0.033,0.018,0.047,0.028,0.137,0.027,0.312
Sacred Creatures 006_page_0,Sacred Creatures 006,0,cover,cover,0.033,0.71,0.016,0.01,0.018,0.035,0.128,0.009,0.042
Sacred Creatures 006_page_1,Sacred Creatures 006,1,cover,credits,0.019,0.038,0.026,0.015,0.053,0.55,0.034,0.212,0.053
Sacred Creatures 006_page_2,Sacred Creatures 006,2,first-page,story,0.02,0.032,0.44,0.021,0.287,0.024,0.118,0.029,0.029
Sacred Creatures 006_page_3,Sacred Creatures 006,3,story,story,0.02,0.046,0.446,0.021,0.274,0.036,0.097,0.027,0.033
Sacred Creatures 006_page_4,Sacred Creatures 006,4,story,story,0.018,0.049,0.462,0.022,0.258,0.028,0.105,0.024,0.034
Sacred Creatures 006_page_5,Sacred Creatures 006,5,story,story,0.02,0.063,0.478,0.026,0.225,0.033,0.098,0.023,0.033
Sacred Creatures 006_page_6,Sacred Creatures 006,6,story,story,0.019,0.046,0.5,0.022,0.229,0.031,0.094,0.027,0.032
Sacred Creatures 006_page_7,Sacred Creatures 006,7,story,story,0.019,0.054,0.439,0.023,0.267,0.032,0.109,0.023,0.033
Sacred Creatures 006_page_8,Sacred Creatures 006,8,story,story,0.019,0.064,0.438,0.022,0.252,0.033,0.113,0.023,0.036
Sacred Creatures 006_page_9,Sacred Creatures 006,9,story,story,0.023,0.029,0.359,0.018,0.339,0.021,0.15,0.028,0.033
Sacred Creatures 006_page_10,Sacred Creatures 006,10,story,story,0.021,0.045,0.469,0.022,0.248,0.028,0.113,0.022,0.032
Sacred Creatures 006_page_11,Sacred Creatures 006,11,story,story,0.019,0.035,0.457,0.019,0.272,0.025,0.113,0.025,0.035
Sacred Creatures 006_page_12,Sacred Creatures 006,12,story,story,0.02,0.047,0.484,0.023,0.236,0.03,0.104,0.023,0.033
Sacred Creatures 006_page_13,Sacred Creatures 006,13,story,story,0.02,0.042,0.466,0.022,0.258,0.026,0.111,0.023,0.031
Sacred Creatures 006_page_14,Sacred Creatures 006,14,art,story,0.02,0.033,0.457,0.022,0.279,0.026,0.105,0.03,0.029
Sacred Creatures 006_page_15,Sacred Creatures 006,15,first-page,story,0.019,0.05,0.496,0.022,0.226,0.03,0.099,0.024,0.034
Sacred Creatures 006_page_16,Sacred Creatures 006,16,story,story,0.018,0.039,0.486,0.02,0.25,0.027,0.099,0.027,0.034
Sacred Creatures 006_page_17,Sacred Creatures 006,17,story,story,0.019,0.069,0.439,0.024,0.242,0.038,0.11,0.024,0.035
Sacred Creatures 006_page_18,Sacred Creatures 006,18,story,story,0.019,0.046,0.489,0.022,0.237,0.028,0.102,0.024,0.034
Sacred Creatures 006_page_19,Sacred Creatures 006,19,story,story,0.02,0.047,0.437,0.022,0.275,0.029,0.116,0.023,0.031
Sacred Creatures 006_page_20,Sacred Creatures 006,20,story,story,0.021,0.036,0.44,0.021,0.286,0.027,0.113,0.025,0.03
Sacred Creatures 006_page_21,Sacred Creatures 006,21,story,story,0.021,0.036,0.486,0.022,0.253,0.027,0.098,0.027,0.03
Sacred Creatures 006_page_22,Sacred Creatures 006,22,story,story,0.021,0.038,0.474,0.024,0.255,0.027,0.107,0.025,0.029
Sacred Creatures 006_page_23,Sacred Creatures 006,23,story,story,0.02,0.048,0.488,0.022,0.235,0.03,0.101,0.023,0.033
Sacred Creatures 006_page_24,Sacred Creatures 006,24,story,story,0.02,0.041,0.481,0.021,0.246,0.027,0.106,0.024,0.033
Sacred Creatures 006_page_25,Sacred Creatures 006,25,story,story,0.02,0.048,0.466,0.021,0.241,0.026,0.118,0.022,0.038
Sacred Creatures 006_page_26,Sacred Creatures 006,26,story,story,0.021,0.029,0.439,0.021,0.289,0.023,0.119,0.029,0.03
Sacred Creatures 006_page_27,Sacred Creatures 006,27,story,story,0.02,0.057,0.463,0.023,0.242,0.034,0.103,0.023,0.034
Sacred Creatures 006_page_28,Sacred Creatures 006,28,story,story,0.02,0.044,0.486,0.022,0.239,0.028,0.105,0.023,0.032
Sacred Creatures 006_page_29,Sacred Creatures 006,29,story,story,0.02,0.042,0.484,0.022,0.246,0.029,0.101,0.025,0.031
Sacred Creatures 006_page_30,Sacred Creatures 006,30,story,story,0.019,0.041,0.465,0.021,0.259,0.023,0.115,0.024,0.032
Sacred Creatures 006_page_31,Sacred Creatures 006,31,story,story,0.02,0.049,0.475,0.023,0.249,0.029,0.101,0.024,0.031
Sacred Creatures 006_page_32,Sacred Creatures 006,32,story,story,0.019,0.039,0.438,0.02,0.288,0.025,0.114,0.026,0.031
Sacred Creatures 006_page_33,Sacred Creatures 006,33,story,story,0.02,0.03,0.44,0.02,0.291,0.023,0.116,0.029,0.03
Sacred Creatures 006_page_34,Sacred Creatures 006,34,story,story,0.02,0.035,0.448,0.018,0.283,0.027,0.11,0.025,0.035
Sacred Creatures 006_page_35,Sacred Creatures 006,35,story,story,0.02,0.045,0.492,0.023,0.235,0.029,0.101,0.024,0.032
Sacred Creatures 006_page_36,Sacred Creatures 006,36,story,story,0.021,0.041,0.479,0.021,0.255,0.033,0.092,0.026,0.033
Sacred Creatures 006_page_37,Sacred Creatures 006,37,story,story,0.018,0.042,0.451,0.021,0.275,0.025,0.111,0.025,0.032
Sacred Creatures 006_page_38,Sacred Creatures 006,38,story,story,0.019,0.044,0.44,0.02,0.276,0.029,0.115,0.025,0.033
Sacred Creatures 006_page_39,Sacred Creatures 006,39,story,story,0.019,0.041,0.456,0.022,0.267,0.025,0.115,0.025,0.03
Sacred Creatures 006_page_40,Sacred Creatures 006,40,story,story,0.02,0.046,0.494,0.022,0.237,0.03,0.095,0.025,0.033
Sacred Creatures 006_page_41,Sacred Creatures 006,41,story,story,0.019,0.041,0.495,0.021,0.238,0.029,0.099,0.026,0.034
Sacred Creatures 006_page_42,Sacred Creatures 006,42,story,story,0.021,0.044,0.394,0.02,0.309,0.04,0.111,0.025,0.035
Sacred Creatures 006_page_43,Sacred Creatures 006,43,story,story,0.02,0.032,0.439,0.019,0.285,0.023,0.122,0.027,0.032
Sacred Creatures 006_page_44,Sacred Creatures 006,44,story,story,0.021,0.054,0.473,0.023,0.237,0.029,0.108,0.022,0.034
Sacred Creatures 006_page_45,Sacred Creatures 006,45,story,story,0.02,0.063,0.45,0.023,0.247,0.036,0.104,0.023,0.034
Sacred Creatures 006_page_46,Sacred Creatures 006,46,story,story,0.02,0.057,0.462,0.024,0.244,0.033,0.104,0.024,0.032
Sacred Creatures 006_page_47,Sacred Creatures 006,47,story,story,0.02,0.041,0.464,0.022,0.265,0.028,0.106,0.026,0.03
Sacred Creatures 006_page_48,Sacred Creatures 006,48,story,story,0.019,0.052,0.458,0.022,0.258,0.029,0.108,0.023,0.032
Sacred Creatures 006_page_49,Sacred Creatures 006,49,story,story,0.02,0.059,0.458,0.023,0.247,0.035,0.101,0.023,0.034
Sacred Creatures 006_page_50,Sacred Creatures 006,50,story,story,0.021,0.059,0.485,0.026,0.225,0.032,0.098,0.023,0.032
Sacred Creatures 006_page_51,Sacred Creatures 006,51,story,story,0.019,0.05,0.479,0.023,0.242,0.028,0.103,0.023,0.031
Sacred Creatures 006_page_52,Sacred Creatures 006,52,story,story,0.02,0.04,0.457,0.021,0.27,0.026,0.11,0.024,0.031
Sacred Creatures 006_page_53,Sacred Creatures 006,53,story,story,0.02,0.04,0.476,0.022,0.259,0.03,0.096,0.027,0.03
Sacred Creatures 006_page_54,Sacred Creatures 006,54,story,story,0.018,0.035,0.492,0.022,0.248,0.023,0.102,0.029,0.032
