identifier,book_id,page_number,ground_truth_label,predicted_label,prob_advertisement,prob_cover,prob_story,prob_textstory,prob_first-page,prob_credits,prob_art,prob_text,prob_back_cover
Spread 002_page_16,Spread 002,16,story,story,0.101,0.029,0.73,0.019,0.021,0.027,0.014,0.034,0.024
Spread 002_page_17,Spread 002,17,story,story,0.103,0.031,0.731,0.02,0.021,0.025,0.014,0.032,0.023
Spread 002_page_18,Spread 002,18,story,story,0.104,0.03,0.73,0.019,0.022,0.025,0.013,0.034,0.024
Spread 002_page_19,Spread 002,19,story,story,0.093,0.029,0.727,0.019,0.022,0.029,0.013,0.041,0.026
Spread 002_page_20,Spread 002,20,story,story,0.104,0.029,0.726,0.019,0.021,0.024,0.013,0.038,0.025
Spread 002_page_21,Spread 002,21,story,story,0.112,0.04,0.713,0.022,0.022,0.03,0.017,0.023,0.022
Spread 002_page_22,Spread 002,22,story,text,0.061,0.017,0.029,0.026,0.025,0.113,0.021,0.687,0.02
Spread 002_page_23,Spread 002,23,story,advertisement,0.687,0.082,0.109,0.017,0.016,0.04,0.015,0.016,0.018
Spread 002_page_24,Spread 002,24,advertisement,advertisement,0.65,0.071,0.155,0.019,0.017,0.032,0.018,0.017,0.02
Spread 002_page_25,Spread 002,25,credits,advertisement,0.578,0.016,0.058,0.021,0.025,0.063,0.016,0.202,0.022
Spread 002_page_26,Spread 002,26,story,story,0.213,0.046,0.594,0.021,0.023,0.043,0.019,0.022,0.019
Spread 002_page_27,Spread 002,27,story,story,0.109,0.042,0.71,0.021,0.021,0.034,0.018,0.022,0.022
Spread 002_page_28,Spread 002,28,story,story,0.181,0.03,0.65,0.018,0.021,0.038,0.015,0.026,0.02
Spread 002_page_29,Spread 002,29,advertisement,advertisement,0.733,0.085,0.047,0.014,0.02,0.053,0.016,0.017,0.016
Spread 002_page_30,Spread 002,30,story,advertisement,0.607,0.12,0.135,0.019,0.018,0.042,0.021,0.017,0.021
Spread 002_page_31,Spread 002,31,advertisement,advertisement,0.721,0.065,0.072,0.014,0.02,0.058,0.016,0.016,0.017
Beasts of Burden Occupied Territory._2_page_0,Beasts of Burden Occupied Territory._2,0,credits,advertisement,0.416,0.065,0.091,0.018,0.024,0.32,0.018,0.026,0.022
Beasts of Burden Occupied Territory._2_page_1,Beasts of Burden Occupied Territory._2,1,credits,advertisement,0.386,0.116,0.11,0.019,0.024,0.282,0.02,0.02,0.023
Beasts of Burden Occupied Territory._2_page_2,Beasts of Burden Occupied Territory._2,2,story,story,0.084,0.037,0.738,0.02,0.021,0.035,0.016,0.026,0.023
Beasts of Burden Occupied Territory._2_page_3,Beasts of Burden Occupied Territory._2,3,story,advertisement,0.281,0.255,0.133,0.022,0.023,0.215,0.027,0.018,0.026
Beasts of Burden Occupied Territory._2_page_4,Beasts of Burden Occupied Territory._2,4,story,advertisement,0.268,0.262,0.129,0.021,0.022,0.227,0.027,0.018,0.026
Beasts of Burden Occupied Territory._2_page_5,Beasts of Burden Occupied Territory._2,5,story,story,0.145,0.03,0.696,0.018,0.02,0.03,0.014,0.026,0.022
Beasts of Burden Occupied Territory._2_page_6,Beasts of Burden Occupied Territory._2,6,story,story,0.112,0.035,0.717,0.021,0.02,0.035,0.016,0.023,0.021
Beasts of Burden Occupied Territory._2_page_7,Beasts of Burden Occupied Territory._2,7,story,story,0.108,0.032,0.73,0.019,0.02,0.027,0.015,0.028,0.021
Beasts of Burden Occupied Territory._2_page_8,Beasts of Burden Occupied Territory._2,8,story,credits,0.25,0.259,0.113,0.02,0.023,0.265,0.025,0.018,0.026
Beasts of Burden Occupied Territory._2_page_9,Beasts of Burden Occupied Territory._2,9,story,story,0.118,0.032,0.718,0.02,0.02,0.028,0.014,0.029,0.02
Beasts of Burden Occupied Territory._2_page_10,Beasts of Burden Occupied Territory._2,10,story,story,0.112,0.033,0.721,0.02,0.02,0.031,0.015,0.025,0.022
Beasts of Burden Occupied Territory._2_page_11,Beasts of Burden Occupied Territory._2,11,story,story,0.122,0.041,0.701,0.021,0.022,0.031,0.018,0.023,0.021
Beasts of Burden Occupied Territory._2_page_12,Beasts of Burden Occupied Territory._2,12,story,story,0.103,0.041,0.721,0.021,0.021,0.03,0.017,0.024,0.021
Beasts of Burden Occupied Territory._2_page_13,Beasts of Burden Occupied Territory._2,13,story,story,0.081,0.037,0.746,0.021,0.021,0.025,0.016,0.03,0.022
Beasts of Burden Occupied Territory._2_page_14,Beasts of Burden Occupied Territory._2,14,story,story,0.107,0.034,0.728,0.02,0.021,0.028,0.015,0.027,0.021
Beasts of Burden Occupied Territory._2_page_15,Beasts of Burden Occupied Territory._2,15,story,story,0.114,0.034,0.72,0.02,0.021,0.03,0.016,0.024,0.021
Beasts of Burden Occupied Territory._2_page_16,Beasts of Burden Occupied Territory._2,16,story,advertisement,0.283,0.233,0.116,0.02,0.023,0.255,0.025,0.018,0.026
Beasts of Burden Occupied Territory._2_page_17,Beasts of Burden Occupied Territory._2,17,story,story,0.102,0.03,0.733,0.019,0.021,0.026,0.015,0.032,0.022
Beasts of Burden Occupied Territory._2_page_18,Beasts of Burden Occupied Territory._2,18,story,story,0.108,0.033,0.727,0.02,0.021,0.03,0.015,0.026,0.021
Beasts of Burden Occupied Territory._2_page_19,Beasts of Burden Occupied Territory._2,19,story,story,0.103,0.032,0.732,0.019,0.021,0.028,0.015,0.029,0.021
Beasts of Burden Occupied Territory._2_page_20,Beasts of Burden Occupied Territory._2,20,story,story,0.092,0.034,0.741,0.02,0.022,0.024,0.015,0.03,0.023
Beasts of Burden Occupied Territory._2_page_21,Beasts of Burden Occupied Territory._2,21,advertisement,advertisement,0.729,0.095,0.059,0.016,0.018,0.03,0.018,0.016,0.017
Beasts of Burden Occupied Territory._2_page_22,Beasts of Burden Occupied Territory._2,22,advertisement,advertisement,0.78,0.02,0.069,0.014,0.016,0.03,0.01,0.043,0.017
Skullkickers 019_page_0,Skullkickers 019,0,cover,cover,0.241,0.336,0.034,0.018,0.021,0.281,0.023,0.024,0.023
Skullkickers 019_page_1,Skullkickers 019,1,cover,credits,0.027,0.044,0.023,0.017,0.016,0.769,0.016,0.068,0.021
Skullkickers 019_page_2,Skullkickers 019,2,story,story,0.111,0.028,0.665,0.02,0.024,0.038,0.014,0.071,0.028
Skullkickers 019_page_3,Skullkickers 019,3,story,story,0.105,0.032,0.728,0.018,0.02,0.031,0.014,0.031,0.021
Skullkickers 019_page_4,Skullkickers 019,4,story,story,0.125,0.032,0.673,0.02,0.021,0.061,0.014,0.03,0.024
Skullkickers 019_page_5,Skullkickers 019,5,story,story,0.12,0.026,0.684,0.019,0.022,0.034,0.012,0.057,0.026
Skullkickers 019_page_6,Skullkickers 019,6,story,story,0.121,0.036,0.709,0.019,0.021,0.034,0.015,0.024,0.022
Skullkickers 019_page_7,Skullkickers 019,7,story,story,0.118,0.028,0.708,0.018,0.021,0.03,0.013,0.041,0.024
Skullkickers 019_page_8,Skullkickers 019,8,story,story,0.24,0.038,0.588,0.02,0.021,0.03,0.017,0.024,0.022
Skullkickers 019_page_9,Skullkickers 019,9,story,story,0.105,0.04,0.721,0.021,0.021,0.031,0.017,0.023,0.022
Skullkickers 019_page_10,Skullkickers 019,10,story,story,0.162,0.025,0.641,0.02,0.021,0.049,0.012,0.043,0.028
Skullkickers 019_page_11,Skullkickers 019,11,story,story,0.075,0.037,0.751,0.02,0.021,0.027,0.015,0.031,0.023
Skullkickers 019_page_12,Skullkickers 019,12,story,story,0.11,0.027,0.723,0.018,0.021,0.027,0.013,0.037,0.024
Skullkickers 019_page_13,Skullkickers 019,13,story,story,0.09,0.032,0.74,0.019,0.021,0.027,0.014,0.033,0.023
Skullkickers 019_page_14,Skullkickers 019,14,story,story,0.077,0.037,0.748,0.019,0.021,0.032,0.015,0.029,0.022
Skullkickers 019_page_15,Skullkickers 019,15,story,story,0.108,0.031,0.73,0.018,0.019,0.028,0.014,0.029,0.022
Skullkickers 019_page_16,Skullkickers 019,16,story,story,0.109,0.032,0.724,0.018,0.02,0.035,0.014,0.026,0.022
Skullkickers 019_page_17,Skullkickers 019,17,story,story,0.076,0.036,0.749,0.019,0.021,0.032,0.015,0.03,0.023
Skullkickers 019_page_18,Skullkickers 019,18,story,story,0.282,0.028,0.555,0.017,0.019,0.033,0.014,0.029,0.022
Skullkickers 019_page_19,Skullkickers 019,19,story,story,0.073,0.043,0.747,0.02,0.022,0.029,0.017,0.026,0.023
Skullkickers 019_page_20,Skullkickers 019,20,story,story,0.105,0.031,0.732,0.017,0.019,0.032,0.013,0.029,0.023
Skullkickers 019_page_21,Skullkickers 019,21,story,story,0.166,0.028,0.671,0.019,0.02,0.034,0.014,0.027,0.022
Skullkickers 019_page_22,Skullkickers 019,22,story,story,0.083,0.037,0.744,0.019,0.021,0.028,0.016,0.029,0.022
Skullkickers 019_page_23,Skullkickers 019,23,story,story,0.318,0.062,0.46,0.021,0.021,0.054,0.02,0.02,0.023
Skullkickers 019_page_24,Skullkickers 019,24,advertisement,advertisement,0.39,0.019,0.045,0.025,0.029,0.073,0.022,0.371,0.024
Skullkickers 019_page_25,Skullkickers 019,25,story,text,0.286,0.017,0.068,0.025,0.029,0.126,0.019,0.405,0.025
Skullkickers 019_page_26,Skullkickers 019,26,story,text,0.083,0.018,0.07,0.025,0.027,0.074,0.02,0.661,0.023
Skullkickers 019_page_27,Skullkickers 019,27,story,text,0.067,0.019,0.063,0.025,0.03,0.101,0.02,0.652,0.023
Skullkickers 019_page_28,Skullkickers 019,28,story,text,0.051,0.015,0.036,0.026,0.027,0.062,0.02,0.745,0.019
Skullkickers 019_page_29,Skullkickers 019,29,credits,advertisement,0.692,0.104,0.037,0.015,0.022,0.077,0.018,0.018,0.018
Skullkickers 019_page_30,Skullkickers 019,30,credits,advertisement,0.803,0.027,0.029,0.014,0.019,0.033,0.013,0.046,0.016
Skullkickers 019_page_31,Skullkickers 019,31,advertisement,credits,0.074,0.027,0.036,0.024,0.024,0.455,0.022,0.311,0.027
Pathfinder 008_page_0,Pathfinder 008,0,cover,cover,0.224,0.594,0.044,0.02,0.019,0.03,0.029,0.018,0.022
Pathfinder 008_page_1,Pathfinder 008,1,cover,cover,0.208,0.62,0.039,0.018,0.018,0.032,0.028,0.017,0.02
Pathfinder 008_page_2,Pathfinder 008,2,credits,credits,0.03,0.039,0.024,0.017,0.016,0.744,0.018,0.091,0.02
Pathfinder 008_page_3,Pathfinder 008,3,story,story,0.142,0.045,0.635,0.021,0.022,0.07,0.019,0.022,0.023
Pathfinder 008_page_4,Pathfinder 008,4,story,story,0.082,0.033,0.737,0.019,0.022,0.028,0.014,0.042,0.023
Pathfinder 008_page_5,Pathfinder 008,5,story,story,0.062,0.042,0.753,0.02,0.022,0.029,0.016,0.033,0.023
Pathfinder 008_page_6,Pathfinder 008,6,story,story,0.09,0.032,0.74,0.019,0.021,0.03,0.014,0.03,0.023
Pathfinder 008_page_7,Pathfinder 008,7,story,story,0.092,0.028,0.716,0.019,0.023,0.029,0.013,0.053,0.027
Pathfinder 008_page_8,Pathfinder 008,8,story,story,0.075,0.047,0.735,0.021,0.022,0.036,0.018,0.023,0.022
Pathfinder 008_page_9,Pathfinder 008,9,story,story,0.067,0.043,0.75,0.02,0.022,0.03,0.017,0.026,0.023
Pathfinder 008_page_10,Pathfinder 008,10,story,story,0.075,0.039,0.745,0.02,0.02,0.03,0.016,0.031,0.023
Pathfinder 008_page_11,Pathfinder 008,11,story,story,0.084,0.036,0.745,0.02,0.021,0.027,0.015,0.029,0.023
Pathfinder 008_page_12,Pathfinder 008,12,story,story,0.076,0.034,0.751,0.02,0.022,0.026,0.015,0.034,0.023
Pathfinder 008_page_13,Pathfinder 008,13,story,story,0.075,0.036,0.75,0.02,0.022,0.027,0.016,0.031,0.022
Pathfinder 008_page_14,Pathfinder 008,14,story,story,0.08,0.031,0.741,0.02,0.023,0.025,0.014,0.041,0.025
Pathfinder 008_page_15,Pathfinder 008,15,story,story,0.069,0.039,0.753,0.02,0.022,0.029,0.016,0.03,0.023
Pathfinder 008_page_16,Pathfinder 008,16,story,story,0.079,0.06,0.712,0.023,0.024,0.036,0.021,0.023,0.022
Pathfinder 008_page_17,Pathfinder 008,17,story,story,0.172,0.044,0.643,0.022,0.021,0.038,0.018,0.022,0.02
Pathfinder 008_page_18,Pathfinder 008,18,story,story,0.102,0.03,0.733,0.019,0.021,0.027,0.014,0.034,0.021
Pathfinder 008_page_19,Pathfinder 008,19,story,story,0.076,0.046,0.739,0.021,0.023,0.029,0.018,0.026,0.021
Pathfinder 008_page_20,Pathfinder 008,20,story,story,0.09,0.037,0.741,0.019,0.02,0.025,0.015,0.032,0.021
Pathfinder 008_page_21,Pathfinder 008,21,story,story,0.078,0.045,0.738,0.021,0.022,0.031,0.017,0.027,0.021
Pathfinder 008_page_22,Pathfinder 008,22,story,story,0.066,0.053,0.738,0.022,0.024,0.029,0.02,0.026,0.022
Pathfinder 008_page_23,Pathfinder 008,23,story,story,0.073,0.046,0.744,0.02,0.022,0.028,0.017,0.029,0.021
Pathfinder 008_page_24,Pathfinder 008,24,story,story,0.177,0.047,0.622,0.02,0.02,0.05,0.019,0.025,0.021
Pathfinder 008_page_25,Pathfinder 008,25,story,advertisement,0.438,0.074,0.033,0.024,0.033,0.095,0.024,0.255,0.025
Pathfinder 008_page_26,Pathfinder 008,26,story,text,0.09,0.017,0.053,0.026,0.026,0.047,0.018,0.703,0.02
Pathfinder 008_page_27,Pathfinder 008,27,story,advertisement,0.684,0.037,0.104,0.018,0.019,0.027,0.014,0.076,0.019
Pathfinder 008_page_28,Pathfinder 008,28,story,text,0.087,0.017,0.057,0.028,0.027,0.04,0.019,0.703,0.022
Pathfinder 008_page_29,Pathfinder 008,29,story,text,0.204,0.015,0.042,0.033,0.032,0.046,0.022,0.584,0.023
Pathfinder 008_page_30,Pathfinder 008,30,story,story,0.151,0.05,0.421,0.024,0.026,0.241,0.018,0.034,0.034
Pathfinder 008_page_31,Pathfinder 008,31,advertisement,advertisement,0.781,0.031,0.025,0.014,0.022,0.045,0.012,0.05,0.019
Pathfinder 008_page_32,Pathfinder 008,32,advertisement,advertisement,0.575,0.019,0.059,0.02,0.025,0.123,0.018,0.137,0.025
Pathfinder 008_page_33,Pathfinder 008,33,advertisement,advertisement,0.678,0.023,0.043,0.017,0.022,0.114,0.015,0.069,0.02
The Magic Order 004_page_0,The Magic Order 004,0,cover,cover,0.065,0.791,0.023,0.014,0.013,0.046,0.021,0.012,0.015
The Magic Order 004_page_1,The Magic Order 004,1,credits,credits,0.056,0.07,0.023,0.012,0.015,0.756,0.013,0.036,0.019
The Magic Order 004_page_2,The Magic Order 004,2,story,story,0.091,0.035,0.735,0.019,0.02,0.03,0.015,0.033,0.022
The Magic Order 004_page_3,The Magic Order 004,3,story,story,0.081,0.034,0.75,0.019,0.022,0.024,0.015,0.034,0.022
The Magic Order 004_page_4,The Magic Order 004,4,story,story,0.107,0.028,0.716,0.019,0.022,0.027,0.013,0.043,0.024
The Magic Order 004_page_5,The Magic Order 004,5,story,story,0.152,0.03,0.671,0.018,0.021,0.043,0.014,0.029,0.022
The Magic Order 004_page_6,The Magic Order 004,6,story,story,0.079,0.039,0.747,0.02,0.022,0.028,0.016,0.027,0.022
The Magic Order 004_page_7,The Magic Order 004,7,story,story,0.073,0.049,0.735,0.023,0.024,0.028,0.019,0.025,0.024
The Magic Order 004_page_8,The Magic Order 004,8,story,story,0.075,0.037,0.751,0.019,0.022,0.027,0.015,0.03,0.023
The Magic Order 004_page_9,The Magic Order 004,9,story,story,0.077,0.044,0.741,0.021,0.023,0.029,0.017,0.024,0.023
The Magic Order 004_page_10,The Magic Order 004,10,story,story,0.069,0.044,0.747,0.021,0.023,0.03,0.017,0.026,0.023
The Magic Order 004_page_11,The Magic Order 004,11,story,story,0.075,0.041,0.748,0.02,0.023,0.026,0.017,0.028,0.022
The Magic Order 004_page_12,The Magic Order 004,12,story,story,0.065,0.069,0.714,0.024,0.025,0.034,0.023,0.023,0.023
The Magic Order 004_page_13,The Magic Order 004,13,story,story,0.078,0.047,0.737,0.021,0.023,0.03,0.018,0.023,0.022
The Magic Order 004_page_14,The Magic Order 004,14,story,story,0.093,0.035,0.736,0.02,0.022,0.033,0.015,0.025,0.021
The Magic Order 004_page_15,The Magic Order 004,15,story,story,0.098,0.034,0.734,0.02,0.021,0.029,0.015,0.026,0.022
The Magic Order 004_page_16,The Magic Order 004,16,story,story,0.101,0.031,0.734,0.019,0.02,0.028,0.014,0.029,0.023
The Magic Order 004_page_17,The Magic Order 004,17,story,story,0.136,0.035,0.697,0.02,0.021,0.03,0.016,0.023,0.022
The Magic Order 004_page_18,The Magic Order 004,18,story,story,0.086,0.04,0.739,0.02,0.022,0.03,0.017,0.024,0.023
The Magic Order 004_page_19,The Magic Order 004,19,story,story,0.103,0.032,0.733,0.019,0.021,0.027,0.014,0.028,0.022
The Magic Order 004_page_20,The Magic Order 004,20,story,story,0.092,0.039,0.738,0.02,0.022,0.028,0.016,0.025,0.021
The Magic Order 004_page_21,The Magic Order 004,21,story,story,0.081,0.04,0.745,0.021,0.022,0.027,0.017,0.027,0.022
The Magic Order 004_page_22,The Magic Order 004,22,story,story,0.09,0.038,0.737,0.02,0.022,0.031,0.016,0.023,0.022
The Magic Order 004_page_23,The Magic Order 004,23,story,story,0.074,0.047,0.737,0.022,0.023,0.032,0.019,0.024,0.022
The Magic Order 004_page_24,The Magic Order 004,24,story,story,0.087,0.062,0.702,0.024,0.024,0.036,0.021,0.022,0.022
The Magic Order 004_page_25,The Magic Order 004,25,advertisement,advertisement,0.638,0.154,0.043,0.016,0.023,0.068,0.019,0.019,0.02
The Magic Order 004_page_26,The Magic Order 004,26,advertisement,advertisement,0.818,0.035,0.029,0.012,0.019,0.032,0.012,0.026,0.016
The Magic Order 004_page_27,The Magic Order 004,27,advertisement,advertisement,0.652,0.173,0.037,0.018,0.02,0.045,0.02,0.018,0.017
The Magic Order 004_page_28,The Magic Order 004,28,advertisement,advertisement,0.817,0.035,0.03,0.012,0.019,0.033,0.012,0.024,0.017
The Magic Order 004_page_29,The Magic Order 004,29,advertisement,advertisement,0.723,0.126,0.037,0.015,0.018,0.03,0.017,0.019,0.016
Sacred Creatures 006_page_0,Sacred Creatures 006,0,cover,cover,0.108,0.724,0.026,0.014,0.016,0.06,0.022,0.013,0.017
Sacred Creatures 006_page_1,Sacred Creatures 006,1,cover,credits,0.071,0.035,0.04,0.017,0.017,0.608,0.018,0.173,0.022
Sacred Creatures 006_page_2,Sacred Creatures 006,2,story,story,0.131,0.027,0.701,0.019,0.021,0.031,0.012,0.033,0.024
Sacred Creatures 006_page_3,Sacred Creatures 006,3,story,story,0.087,0.038,0.73,0.019,0.022,0.041,0.015,0.025,0.023
Sacred Creatures 006_page_4,Sacred Creatures 006,4,story,story,0.073,0.047,0.739,0.021,0.023,0.031,0.018,0.025,0.023
Sacred Creatures 006_page_5,Sacred Creatures 006,5,story,story,0.064,0.062,0.723,0.023,0.025,0.033,0.022,0.024,0.023
Sacred Creatures 006_page_6,Sacred Creatures 006,6,story,story,0.074,0.041,0.747,0.02,0.022,0.032,0.016,0.026,0.023
Sacred Creatures 006_page_7,Sacred Creatures 006,7,story,story,0.088,0.045,0.728,0.02,0.022,0.036,0.018,0.022,0.021
Sacred Creatures 006_page_8,Sacred Creatures 006,8,story,story,0.09,0.058,0.707,0.023,0.023,0.034,0.021,0.022,0.022
Sacred Creatures 006_page_9,Sacred Creatures 006,9,story,story,0.194,0.026,0.638,0.018,0.02,0.04,0.013,0.027,0.024
Sacred Creatures 006_page_10,Sacred Creatures 006,10,story,story,0.106,0.044,0.706,0.021,0.023,0.04,0.018,0.021,0.023
Sacred Creatures 006_page_11,Sacred Creatures 006,11,story,story,0.097,0.036,0.729,0.019,0.022,0.036,0.015,0.024,0.022
Sacred Creatures 006_page_12,Sacred Creatures 006,12,story,story,0.089,0.044,0.723,0.021,0.023,0.038,0.018,0.021,0.022
Sacred Creatures 006_page_13,Sacred Creatures 006,13,story,story,0.089,0.041,0.732,0.02,0.022,0.035,0.017,0.022,0.022
Sacred Creatures 006_page_14,Sacred Creatures 006,14,advertisement,story,0.1,0.03,0.728,0.019,0.022,0.033,0.013,0.031,0.023
Sacred Creatures 006_page_15,Sacred Creatures 006,15,story,story,0.071,0.05,0.736,0.022,0.023,0.033,0.019,0.023,0.023
Sacred Creatures 006_page_16,Sacred Creatures 006,16,story,story,0.08,0.036,0.75,0.02,0.021,0.028,0.015,0.027,0.022
Sacred Creatures 006_page_17,Sacred Creatures 006,17,story,story,0.076,0.055,0.721,0.022,0.023,0.037,0.02,0.022,0.023
Sacred Creatures 006_page_18,Sacred Creatures 006,18,story,story,0.081,0.042,0.737,0.021,0.022,0.033,0.017,0.023,0.023
Sacred Creatures 006_page_19,Sacred Creatures 006,19,story,story,0.118,0.037,0.709,0.02,0.022,0.035,0.016,0.021,0.021
Sacred Creatures 006_page_20,Sacred Creatures 006,20,story,story,0.122,0.033,0.7,0.019,0.022,0.042,0.015,0.024,0.023
Sacred Creatures 006_page_21,Sacred Creatures 006,21,story,story,0.094,0.033,0.734,0.019,0.023,0.033,0.014,0.026,0.024
Sacred Creatures 006_page_22,Sacred Creatures 006,22,story,story,0.101,0.036,0.725,0.02,0.022,0.036,0.015,0.023,0.022
Sacred Creatures 006_page_23,Sacred Creatures 006,23,story,story,0.084,0.045,0.727,0.021,0.023,0.037,0.018,0.021,0.023
Sacred Creatures 006_page_24,Sacred Creatures 006,24,story,story,0.1,0.039,0.722,0.02,0.022,0.034,0.016,0.023,0.023
Sacred Creatures 006_page_25,Sacred Creatures 006,25,story,story,0.101,0.048,0.704,0.023,0.023,0.038,0.02,0.02,0.023
Sacred Creatures 006_page_26,Sacred Creatures 006,26,story,story,0.115,0.029,0.715,0.018,0.021,0.037,0.014,0.028,0.023
Sacred Creatures 006_page_27,Sacred Creatures 006,27,story,story,0.076,0.06,0.712,0.023,0.024,0.038,0.021,0.022,0.023
Sacred Creatures 006_page_28,Sacred Creatures 006,28,story,story,0.09,0.043,0.725,0.021,0.023,0.037,0.018,0.022,0.022
Sacred Creatures 006_page_29,Sacred Creatures 006,29,story,story,0.077,0.043,0.736,0.021,0.023,0.038,0.017,0.023,0.022
Sacred Creatures 006_page_30,Sacred Creatures 006,30,story,story,0.092,0.038,0.738,0.02,0.021,0.028,0.016,0.025,0.023
Sacred Creatures 006_page_31,Sacred Creatures 006,31,story,story,0.086,0.04,0.737,0.021,0.022,0.031,0.017,0.024,0.022
Sacred Creatures 006_page_32,Sacred Creatures 006,32,story,story,0.096,0.032,0.734,0.019,0.02,0.03,0.014,0.031,0.023
Sacred Creatures 006_page_33,Sacred Creatures 006,33,story,story,0.129,0.028,0.704,0.019,0.02,0.034,0.013,0.03,0.023
Sacred Creatures 006_page_34,Sacred Creatures 006,34,story,story,0.12,0.034,0.703,0.019,0.021,0.042,0.016,0.021,0.023
Sacred Creatures 006_page_35,Sacred Creatures 006,35,story,story,0.1,0.041,0.72,0.021,0.022,0.035,0.017,0.022,0.022
Sacred Creatures 006_page_36,Sacred Creatures 006,36,story,story,0.079,0.04,0.743,0.02,0.022,0.035,0.016,0.024,0.022
Sacred Creatures 006_page_37,Sacred Creatures 006,37,story,story,0.076,0.037,0.751,0.02,0.022,0.03,0.015,0.028,0.022
Sacred Creatures 006_page_38,Sacred Creatures 006,38,story,story,0.107,0.034,0.721,0.02,0.021,0.038,0.015,0.024,0.022
Sacred Creatures 006_page_39,Sacred Creatures 006,39,story,story,0.097,0.034,0.738,0.019,0.021,0.029,0.014,0.025,0.022
Sacred Creatures 006_page_40,Sacred Creatures 006,40,story,story,0.073,0.045,0.739,0.021,0.023,0.033,0.018,0.023,0.024
Sacred Creatures 006_page_41,Sacred Creatures 006,41,story,story,0.086,0.038,0.738,0.02,0.022,0.034,0.016,0.024,0.022
Sacred Creatures 006_page_42,Sacred Creatures 006,42,story,story,0.128,0.036,0.665,0.02,0.022,0.065,0.016,0.022,0.025
Sacred Creatures 006_page_43,Sacred Creatures 006,43,story,story,0.117,0.029,0.719,0.019,0.02,0.032,0.013,0.027,0.023
Sacred Creatures 006_page_44,Sacred Creatures 006,44,story,story,0.093,0.051,0.71,0.023,0.023,0.036,0.02,0.021,0.023
Sacred Creatures 006_page_45,Sacred Creatures 006,45,story,story,0.083,0.055,0.71,0.023,0.024,0.041,0.02,0.021,0.023
Sacred Creatures 006_page_46,Sacred Creatures 006,46,story,story,0.08,0.054,0.717,0.023,0.023,0.039,0.02,0.022,0.023
Sacred Creatures 006_page_47,Sacred Creatures 006,47,story,story,0.092,0.036,0.734,0.02,0.021,0.033,0.015,0.025,0.022
Sacred Creatures 006_page_48,Sacred Creatures 006,48,story,story,0.083,0.044,0.734,0.021,0.022,0.033,0.018,0.023,0.021
Sacred Creatures 006_page_49,Sacred Creatures 006,49,story,story,0.077,0.058,0.715,0.023,0.024,0.038,0.021,0.022,0.023
Sacred Creatures 006_page_50,Sacred Creatures 006,50,story,story,0.07,0.06,0.719,0.023,0.025,0.035,0.022,0.023,0.023
Sacred Creatures 006_page_51,Sacred Creatures 006,51,story,story,0.076,0.048,0.734,0.022,0.023,0.033,0.019,0.023,0.023
Sacred Creatures 006_page_52,Sacred Creatures 006,52,story,story,0.098,0.037,0.729,0.02,0.022,0.032,0.016,0.024,0.022
Sacred Creatures 006_page_53,Sacred Creatures 006,53,story,story,0.082,0.036,0.742,0.019,0.021,0.035,0.015,0.026,0.023
Sacred Creatures 006_page_54,Sacred Creatures 006,54,story,story,0.081,0.035,0.747,0.02,0.023,0.026,0.015,0.03,0.024
